date,total_views,unique_views
2022-08-15,2,1
2022-08-16,2,2
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,2,1
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,59,1
2022-08-26,0,0
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,1,1
2022-08-31,0,0
2022-09-01,3,1
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,1,1
2022-09-05,0,0
2022-09-06,3,1
2022-09-07,0,0
2022-09-08,2,2
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,0,0
2022-09-12,9,2
2022-09-13,5,1
2022-09-14,0,0
2022-09-15,0,0
2022-09-16,0,0
2022-09-17,1,1
2022-09-18,0,0
2022-09-19,3,3
2022-09-20,0,0
2022-09-21,0,0
2022-09-22,1,1
2022-09-23,0,0
2022-09-24,0,0
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,1,1
2022-09-28,0,0
